,comment,author,author_url,published_at
53,attack religion face great accountability worlds,@HanZyK008,http://www.youtube.com/channel/UCjlbykJQs9-75vQx6Qm8NDg,2023-12-08T08:11:11Z
55,clappinghandsclappinghandsraisinghandsraisinghandsfoldedhandsfoldedhandssmilingfacewithhalo,@cynthiaponder8905,http://www.youtube.com/channel/UCiQj109A0ZKIGTgsQ4vouMQ,2023-12-08T07:53:06Z
56,correct iran houtis hamas hezbola demonic groups worst nazi,@jhare18,http://www.youtube.com/channel/UCq3SYkN-a_kW_x1kIUxe0Yw,2023-12-08T07:45:09Z
58,gallant also tell israelis return home day judgement israelis war proved good day dreamers grinningfacewithsweatgrinningfacewithsweatgrinningfacewithsweatgrinningfacewithsweatgrinningfacewithsweatgrinningfacewithsweat,@tomboygirl732,http://www.youtube.com/channel/UCbDHy3bzTgMEIyhbeloxX7Q,2023-12-08T07:40:04Z
59,stand israel smilingfacewithsmilingeyes,@BobvanTussenbroek,http://www.youtube.com/channel/UCVlEf3e0hq4t6sn-ybb_kJA,2023-12-08T07:33:24Z
61,wake peopleim easy touch person ill listen anyone point viewbut apparently dontcause hamas evil support realize evil well,@user-kd6yu9ib6m,http://www.youtube.com/channel/UCcdODbOXHnCd-C6jRkanXfA,2023-12-08T06:36:02Z
62,thanks,@Daydreamer5422,http://www.youtube.com/channel/UCniUl5rgceQ6erJESe4lthA,2023-12-08T06:28:34Z
63,lord pls help idf soldier spare away danger peace earthredheartredheartfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhands,@nenagarcia6818,http://www.youtube.com/channel/UCXLQfVHKsClBLmSlI7d3qNA,2023-12-08T06:28:18Z
64,prayers soldiers injured families soldiers heroically lost lives foldedhands redheartcryingface prayers hostages return home safely shalom,@texasterri2002,http://www.youtube.com/channel/UCwSBFBf-hrPXGuxGN4q0Chw,2023-12-08T06:25:54Z
65,partypopperredheartsmilingfacewithsmilingeyesfacewithtearsofjoycryingfacefacewithopenmouthgrinningfacewithsweat,@devadosss2416,http://www.youtube.com/channel/UCXZ8pLuKgjd71HsQjkUCk4Q,2023-12-08T06:06:41Z
67,never let prison cease fire hamas telling people return homes,@TOMAS-lh4er,http://www.youtube.com/channel/UCwLtcAaVoF03zoDw7WUwJng,2023-12-08T06:02:59Z
70,united states pays israels military budget israel universal health care subsidized college tuition still ran budget surplus last year,@tylerdurdan7128,http://www.youtube.com/channel/UCokMhlVUHRg3XkrwV8L6k-g,2023-12-08T05:44:38Z
74,israel planning building temple near mound,@vanessaweemsss5740,http://www.youtube.com/channel/UCEfiOB3i_J-Kpxd7dhq_50w,2023-12-08T05:07:06Z
75,thank much truth redheart,@tcmenez3648,http://www.youtube.com/channel/UCjGcniL3hD3TFuz2Y7u6Qqw,2023-12-08T05:02:50Z
76,dradle story weak made clay explain families hostages resurrection hamas political body would surrendered unconditionally call banditos,@estevangarcia2690,http://www.youtube.com/channel/UCbYO797OE4NASV6M2_Ssa_g,2023-12-08T04:59:59Z
77,god receive souls deceased soldiers left behind families great memories ripisraeliwarriorsandchamps,@vanessaweemsss5740,http://www.youtube.com/channel/UCEfiOB3i_J-Kpxd7dhq_50w,2023-12-08T04:57:46Z
78,dominics mother saw little dog,@estevangarcia2690,http://www.youtube.com/channel/UCbYO797OE4NASV6M2_Ssa_g,2023-12-08T04:48:57Z
80,top notch commentary happy hanukkah,@estevangarcia2690,http://www.youtube.com/channel/UCbYO797OE4NASV6M2_Ssa_g,2023-12-08T04:39:23Z
82,sholom israel,@benyoko1070,http://www.youtube.com/channel/UCCwP0C62oacjiPnEBy3k73A,2023-12-08T04:31:58Z
83,god israel work victory sure,@JosephKabaari-jd4vi,http://www.youtube.com/channel/UCp3ORecnlv6dSh-gImyrcHw,2023-12-08T04:23:12Z
86,prayers israel jewish people vancouver canada,@Laura-ss5ws,http://www.youtube.com/channel/UCTNP4DNpwzaDKVUAIE4a8sQ,2023-12-08T03:56:44Z
88,american jews proclaimed hussein obama great prophet worshipped african muslim wholeheartedly turn,@paulbernacki641,http://www.youtube.com/channel/UCou7QjOkBW7XBt9zEcqOrMQ,2023-12-08T03:42:53Z
89,prayers fallen idf soldiers families papuanewguineahearthandsisrael,@christopheryupele9281,http://www.youtube.com/channel/UCs6ytdz5KU2EgudHM2pkRHA,2023-12-08T03:42:34Z
90,twoheartsfoldedhandsisrael,@emmasalva6311,http://www.youtube.com/channel/UC0XhGQQlszWKobheNkFbprA,2023-12-08T03:37:29Z
92,thanks god bless israel sandsprings oklahoma usa unitedstates,@jamesdillion8765,http://www.youtube.com/channel/UCmInKVtGaGvGPH-rqKaQ11w,2023-12-08T03:36:46Z
93,stand israel forever god says holy bible bless israel bless curse israel also curse,@vinnydelacruz2640,http://www.youtube.com/channel/UCXj_42cKu5LTej0FSKP-aUQ,2023-12-08T03:26:07Z
94,many lies article tell truth total blockade aid occupier force controls rafa even though egypt palestine occupy gaza responsible people palestine goes back way october zionism created need hamas another one dont want feed money blood two state solution freedom identify state lay arms fucking drones weak,@karenmiasyrealtor2260,http://www.youtube.com/channel/UCvAlKY02WLuVMjfnv9_dIeQ,2023-12-08T03:18:15Z
95,please stop endless war war destroying dead innocent people damaged humanity subconcius dont trust look become enemy social motions awareness unhappy common daily lifestyle try stop war peace talking stay together welfare much better happiness dont use innocent people children shielding ghost shadow ignite spark war,@chakrapongintararak5989,http://www.youtube.com/channel/UCIdyomKbo5bnmx75sOXj7TQ,2023-12-08T03:17:42Z
96,thank clear concise reporting one day jerusalem redheart happy hannukah redheart,@Cheapers-Vac,http://www.youtube.com/channel/UCilLYJzwb_psYcYONwMMGDQ,2023-12-08T03:14:55Z
97,hearts strength,@miriamstevens,http://www.youtube.com/channel/UCrpXCPMWiUIXgjmETB4R_fQ,2023-12-08T03:06:02Z
99,netanyahu sonis fighting gazaor partying miamigo fight gaza soldiers israel equality among citizens israel,@farhatruksana6837,http://www.youtube.com/channel/UCDQijf8R-LNbceuhyt5OW8A,2023-12-08T03:00:04Z
102,redheartisrael redheart,@roberttolliver6335,http://www.youtube.com/channel/UC6L2GXVgP8GLD1bU1oAOazA,2023-12-08T02:41:04Z
103,required rituals believe jesus family saved long live israel jesus lord foldedhands,@shobhamohan5614,http://www.youtube.com/channel/UC6aThYyKhMMX0wOjEuLosNw,2023-12-08T02:27:17Z
104,israelisraelshalomindiawhiteheart,@thampythomas7623,http://www.youtube.com/channel/UCP64h_jJpwBnnSxKEBFyhqA,2023-12-08T02:25:35Z
105,safety first israeli soldiers god bless,@juanitoatiwag4074,http://www.youtube.com/channel/UCOE-em9v2Jnu7AyDHDPSH5g,2023-12-08T02:16:38Z
108,israelly interested learning portuguese language teach phrases show atheism way scan barcode want learn beaultiful language seriously dont make turn another kind jihad side israel guys seems better point shouldnt invoque bible along hebrew daily war news kuddos trying bring new kind content scary,@luiseduardo2549,http://www.youtube.com/channel/UCx157A6IUZrOf8vU8q-t5yQ,2023-12-08T02:11:59Z
109,amen haleluyah glory god aleluyah foldedhands aleluyah thanks lord aleluyah amen god bless shlom everyone,@davidkhim8250,http://www.youtube.com/channel/UCmaoDm99Htl1j5HJb21KdDA,2023-12-08T02:01:39Z
110,abba elohim blessing jewish brothers sisters today tomorrow forever foldedhandsisraelfoldedhandsisraelfoldedhandsisrael,@kennethsloboda4958,http://www.youtube.com/channel/UCoWvFZPIa4ZqoFcJviAxCxQ,2023-12-08T01:56:30Z
111,sinwar groundhog hes always hiding hamas terrorist tunnel network gaza groundhog rodant makes holes hole tunnels underground,@royjpatterson1,http://www.youtube.com/channel/UCCZvhOqaypxpRg_D6qTMjOg,2023-12-08T01:51:13Z
112,thank idfpraying israel,@NinaJensen-yd6rc,http://www.youtube.com/channel/UCSkXqavUv8s1W-7PVhZUiGA,2023-12-08T01:47:57Z
113,happy hanukka people israel israel redheart,@punjabisoul2866,http://www.youtube.com/channel/UCeafVDJ_Og1YyDUxx1Y39Nw,2023-12-08T01:44:02Z
114,god bless people israel israel,@punjabisoul2866,http://www.youtube.com/channel/UCeafVDJ_Og1YyDUxx1Y39Nw,2023-12-08T01:42:50Z
